URLs Downloaded, SizeKB, # of outlinks found, Content-type
https://www.nytimes.com/,740,148,text/html
https://www.nytimes.com/video,226,75,text/html
https://www.nytimes.com/section/us,133,140,text/html
https://www.nytimes.com/2018/10/08/opinion/jamal-khashoggi-mbs-saudi-republicans.html,734,135,text/html
https://www.nytimes.com/video/world/africa/100000006148407/melania-trump-takes-questions-africa.html?playlistId=1194811622205,430,82,text/html
https://www.nytimes.com/section/todayspaper,146,173,text/html
https://www.nytimes.com/2018/10/08/us/politics/rick-gates-psy-group-trump.html,794,137,text/html
https://www.nytimes.com/video/world/europe/100000006142744/theresa-may-dance-conservative-party.html?playlistId=1194811622205,429,82,text/html
https://www.nytimes.com/2018/10/08/us/california-governor-debate-gavin-newsom-john-cox.html,471,120,text/html
https://www.nytimes.com/subscription/multiproduct/lp8HYKU.html?campaignId=6W74R,112,37,text/html
https://www.nytimes.com/svc/oembed/json/?url=https%3A%2F%2Fwww.nytimes.com%2F2018%2F10%2F08%2Fopinion%2Fjamal-khashoggi-mbs-saudi-republicans.html,0,4,application/json
https://www.nytimes.com/svc/oembed/json/?url=https%3A%2F%2Fwww.nytimes.com%2F2018%2F10%2F08%2Fus%2Fcalifornia-governor-debate-gavin-newsom-john-cox.html,1,4,application/json
https://www.nytimes.com/video/us/politics/100000006138441/trump-usmca-nafta-press-conference.html?playlistId=100000003890188,586,82,text/html
https://www.nytimes.com/video/world/europe/100000006142744/theresa-may-dance-conservative-party.html,429,82,text/html
https://www.nytimes.com/video/us/politics/100000006067682/president-trump-impeach-questions-answers-michael-cohen.html,347,80,text/html
https://www.nytimes.com/by/mark-mazzetti,117,125,text/html
https://www.nytimes.com/2018/10/06/business/alaska-airlines-horses.html,493,130,text/html
https://www.nytimes.com/2018/10/05/obituaries/william-helfand-a-collector-intrigued-by-quackery-dies-at-92.html,711,124,text/html
https://www.nytimes.com/section/opinion,163,197,text/html
https://www.nytimes.com/2018/10/07/technology/tech-workers-ask-censorship-surveillance.html,957,128,text/html
https://www.nytimes.com/2018/10/03/sports/serena-williams-carlos-ramos-umpire.html,645,123,text/html
https://www.nytimes.com/2018/05/01/travel/service-animals-planes.html?action=click&module=RelatedCoverage&pgtype=Article&region=Footer,707,142,text/html
https://www.nytimes.com/2018/06/13/world/middleeast/trump-tom-barrack-saudi.html,897,148,text/html
https://www.nytimes.com/2018/02/23/us/politics/rick-gates-guilty-plea-mueller-investigation.html?module=inline,707,134,text/html
https://www.nytimes.com/video/opinion/100000006048561/calving-season.html,240,78,text/html
https://www.nytimes.com/2018/08/22/us/politics/offense-impeachable-constitution.html,546,123,text/html
https://www.nytimes.com/2018/10/03/world/europe/uk-theresa-may-speech.html,793,140,text/html
https://www.nytimes.com/vi-assets/static-assets/ios-ipad-144x144-319373aaf4524d94d38aa599c56b8655.png,3,0,image/png
https://www.nytimes.com/video/world/asia/100000006138189/indonesia-earthquake-damage-liquefaction.html?playlistId=100000005448156,576,82,text/html
https://www.nytimes.com/video/us/politics/100000006142471/donald-fred-trump-taxes-generational-wealth-grat.html?playlistId=100000006144521,373,63,text/html
https://www.nytimes.com/column/michelle-goldberg,407,110,text/html
https://www.nytimes.com/by/adam-nagourney,120,125,text/html
https://www.nytimes.com/subscriptions/Multiproduct/lp8R3WU.html?campaignId=6YQ7R,17,30,text/html
https://www.nytimes.com/interactive/2018/10/08/us/politics/how-kavanaugh-fits-in-among-supreme-court-justices.html,236,39,text/html
https://www.nytimes.com/2018/09/26/us/gavin-newsom-california-governor-race.html?action=click&module=RelatedCoverage&pgtype=Article&region=Footer,523,126,text/html
https://www.nytimes.com/2018/09/27/opinion/blasey-ford-kavanaugh-hearing.html,877,137,text/html
https://www.nytimes.com/2018/10/08/us/politics/on-politics-gillibrand-whitmer-qa.html,591,124,text/html
https://www.nytimes.com/2018/10/08/opinion/how-to-get-1-4-million-new-voters.html,504,118,text/html
https://www.nytimes.com/subscription/multiproduct/lp8R34X.html?campaignId=3FQ4Y,100,35,text/html
https://www.nytimes.com/section/theater,136,153,text/html
https://www.nytimes.com/column/red-century,231,110,text/html
https://www.nytimes.com/video/us/politics/100000006143366/sarah-sanders-new-york-times-trump-taxes.html?playlistId=1194811622217,503,83,text/html
https://www.nytimes.com/video/world/asia/100000005336868/capitalism-china-health-care-system.html?playlistId=100000002500298,486,80,text/html
https://www.nytimes.com/video/us-politics,342,80,text/html
https://www.nytimes.com/2017/06/16/us/politics/rick-gates-russia.html?action=click&module=RelatedCoverage&pgtype=Article&region=Footer,647,133,text/html
https://www.nytimes.com/video/us/politics/100000006150161/trump-kavanaugh-hoax.html?playlistId=100000003890188,586,82,text/html
https://www.nytimes.com/interactive/2018/09/20/us/politics/russia-interference-election-trump-clinton.html,470,84,text/html
https://www.nytimes.com/2018/10/07/arts/design/banksy-artwork-painting.html,665,128,text/html
https://www.nytimes.com/svc/oembed/json/?url=https%3A%2F%2Fwww.nytimes.com%2F2018%2F10%2F06%2Fbusiness%2Falaska-airlines-horses.html,1,4,application/json
https://www.nytimes.com/2018/10/07/arts/dance/new-york-city-ballet-debuts-teresa-reichlen.html,643,134,text/html
https://www.nytimes.com/2018/10/07/sports/soccer/us-panama-concacaf-carli-lloyd.html,537,118,text/html
https://www.nytimes.com/2018/10/07/nyregion/a-12th-century-relic-meets-a-21st-century-technology.html,787,134,text/html
https://www.nytimes.com/2018/08/22/us/politics/mueller-investigation-cohen-manafort.html,749,134,text/html
https://www.nytimes.com/video/world/asia/100000005336868/capitalism-china-health-care-system.html,486,80,text/html
https://www.nytimes.com/video/nyregion/100000005990101/junior-murder-bronx-trinitarios.html,1055,80,text/html
https://www.nytimes.com/2018/10/01/us/politics/nafta-deal-trump-canada-mexico.html,710,127,text/html
https://www.nytimes.com/video/us/politics/100000006146754/collins-kavanaugh-confirm-speech.html?playlistId=100000006090324,322,79,text/html
https://www.nytimes.com/column/sporting,231,110,text/html
https://www.nytimes.com/news-event/russian-election-hacking,112,121,text/html
https://www.nytimes.com/section/world,162,171,text/html
https://www.nytimes.com/video/world/middleeast/100000006131780/abbas-trump-two-state-solution.html?playlistId=1194811622205,429,82,text/html
https://www.nytimes.com/subscription/hd/1042.html?campaignId=748YW,40,11,text/html
https://www.nytimes.com/2018/10/01/opinion/beto-orourke-texas-ted-cruz-barack-obama.html,705,130,text/html
https://www.nytimes.com/interactive/2018/opinion/editorialboard.html,55,43,text/html
https://www.nytimes.com/interactive/2017/admin/100000006125081.embedded.html,32,8,text/html
http://www.nytimes.com/marketing/tools-and-services/,19,52,text/html
https://www.nytimes.com/column/fixes,228,110,text/html
